Nazwa;Kcal;Wêglowodany;Bia³ko;T³uszcz
Oliwa z oliwek;897;0.2;0;99.6
Oliwki;147;4.1;1.4;13.9
Orzechy arachidowe;595;19.2;25.7;46.1
Orzechy laskowe;695;11;14.4;65.9
Orzechy nerkowca;638;24;17;54
Orzechy pistacjowe;618;17.5;20.8;51.6
Orzechy w³oskie;679;18;16;60.3
Orzeszki ziemne;634;13.3;26;53
Ostrygi;85;5;5;5
Otrêby pszenne;183;61.9;16;4.6
Ozory cielêce;106;0;17.1;4.2
Ozory wieprzowe;166;0;16.5;11.1
Paluszki;384;75.2;9.9;4.9
Papaja;43;9.8;0.6;0.1
Papryka czerwona;35;6.9;1.2;0.3
Papryka konserwowa;37;5;0.8;1.5
Paprykarz Szczeciñski;181;8.6;9.9;11.9
Parówki dla dzieci Morlinki;223;0.4;12.4;19.1
Parówki popularne;347;0;9.5;34.3
Parówki z kurczaka;262;4.2;10.8;22.4
Pasternak;80;18;1.2;0.3
Pasztet popularny;405;2;13.2;38.2
Pasztet z drobiu;270;4.4;9.6;23.8
P¹czki;376;52;6;16
Pepsi Cola light napój;0.24;0;0;0
Pepsi Cola napój;42;10.4;0;0
Pestki dyni;596;15;29;46.7
Pêdy bambusa;34;5.2;2.6;0.3
Pêdy bambusa konserwa ods¹czone;23;3.2;1.7;0.4
Pieczarka suszona;331;49.3;19.1;2.1
Pieczarka œwie¿a;24;2.5;2.6;0.4
Pieczywo chrupkie pszenne Wasa;360;73;12;2.2
Piernik czekoladowy;317;74.3;4.9;11.8
Pierogi leniwe mro¿one;157;30.2;7.3;0.8
Pierogi ruskie mro¿one;215;37.9;7.2;3.8
Pierogi z kapust¹ i grzybami mro¿one;209;34.5;5;5.7
Pierogi z miêsem mro¿one;255;34.8;10.5;8.2
Pierogi z serem mro¿one;198;36.4;10.9;1
Pierogi z truskawkami mro¿one;194;42.4;4.3;0.8
Piersi bez skóry indycze;109;0;21.3;2.6
Piersi bez skóry z kurczaka;100;0;21.5;1.3
Piersi ze skór¹ z kurczaka;155;0;19.3;8.6
Pietruszka korzeñ;83;17.1;2.6;0.5
Pietruszka liœcie;60;9;3.7;1
Pikling;216;0;21.8;14.3
Piwo bezalkoholowe;27;5.2;0.2;0
Piwo ciemne pe³ne;42;4.6;0.4;0
Piwo jasne mocne;64;5.4;7;0
Piwo jasne pe³ne;49;3.8;0.5;0
Pizza z pieczarkami i cebul¹;296;32.1;12;13.3
Pizza z szynk¹;223;40.2;9.8;2.5
Planta t³uszcz roœlinny;900;0;0;100
P³atki jêczmienne;389;79.4;9.8;3.6
P³atki kukurydziane;385;83.6;6.9;2.5
P³atki kukurydziane Nestle Corn Flakes;370;83.3;7.3;0.8
P³atki owsiane;390;69.3;11.9;7.2
P³atki pszenne;387;81;9;3
P³atki ¿ytnie;385;82.6;6.4;3.2
Polêdwica wo³owa;112;0;20.1;3.5
Pomarañcza;51;11.3;0.9;0.2
Pomidor;29;5.2;0.9;0.5
Popcorn bez t³uszczu;397;77.9;12;4.2
Popcorn z t³uszczem;518;57.1;9;28.1
Por;47;9.9;1.7;0.1
Porzeczki bia³e;63;14.5;0.4;0.4
Porzeczki czarne;84;17.4;1.5;0.9
Porzeczki czerwone;64;13.8;1.3;0.4
Powid³a œliwkowe;218;53;1;0.2
Poziomki;41;8.3;0.8;0.5
Precelki;385;79.5;9.1;3.5
Prince Polo klasyczne;534;57.5;4.8;31.5
Prince Polo wafel;534;57.5;4.8;31.5
Princessa klasyczna;562;58.4;4.1;34.6
Princessa wafel;562;58.4;4.1;34.6
Przyprawa do zup Maggi;17;1.5;2.7;0
Pstr¹g œwie¿y;96;0;19.2;2.1
Ptyœ z bit¹ œmietan¹ ciastko;352;25.8;5.4;25.2
Pyzy z miêsem mro¿one;169;26.2;5.2;4.9
Pyzy ziemniaczane mro¿one;140;32.2;1.7;0.5
Rabarabar;18;3.8;0.5;0.1
Raffaello czekoladki;600;35.4;9.7;46.6
Rama Classic margaryna;631;0.2;0;70
Red Bull napój;45;11.3;0;0
Rodzynki;298;71.2;2.3;0.5
Rostbef wo³owy;152;0;21.5;7.3
Rozbratel wo³owy;158;0;16.7;10.1
Ry¿ bia³y;349;78.9;6.7;0.7
Ry¿ br¹zowy;353;76.8;7.1;1.9
Ry¿ dziki amerykañski;351;73;13.8;0.4
